size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
1000,0.5,-0.5,0,0.7,0.6,1.11701587650738,2.16418931647355,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.5,-0.5,0,0.7,1.1,1.09633505367054,2.0104310155979,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.5,-0.5,0,0.7,4,0.923467588859024,1.55749731954174,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.5,-0.5,0,1.8,0.1,0.698277923990022,2.12140785401254,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.5,-0.5,0,1.8,0.6,1.17173259791692,2.29352948508283,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.5,-0.5,0,1.8,1.1,1.18135753651892,2.16724264411084,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.5,-0.5,0,1.8,4,1.04252522234623,1.74407874184382,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.5,0.05,0,0.7,0.1,6.92609975520471,12.14296920059,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.5,0.05,0,0.7,0.6,2.89524278665834,4.88543076389752,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.5,0.05,0,0.7,1.1,2.24115706318763,3.71194822980027,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.5,0.05,0,0.7,4,1.37214003009575,2.17612693713937,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.5,0.05,0,1.8,0.1,7.36580319869837,12.6320341010609,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.5,0.05,0,1.8,0.6,3.23713722181951,5.28645455956098,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.5,0.05,0,1.8,1.1,2.55248592669147,4.08533924789428,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.5,0.05,0,1.8,4,1.62068397478325,2.48891289642343,"n_ 1 _nu_ 2 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.5,0.2,0,0.7,0.1,11.525056759085,19.6271119085724,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.5,0.2,0,0.7,0.6,3.65100850246024,6.05410459399342,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.5,0.2,0,0.7,1.1,2.67122954570932,4.35974255357365,"n_ 1 _nu_ 2 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
